,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
0,Lorengau,50,PG,1578373923,73,-2.02,147.27,84.87,8.63
1,Marawi,100,PH,1578373924,81,8.0,124.29,82.0,11.99
2,Sucua,48,EC,1578373924,97,-2.46,-78.17,64.62,2.68
3,Puerto Ayora,25,EC,1578373924,82,-0.74,-90.35,75.99,1.01
4,Mataura,84,NZ,1578373924,70,-46.19,168.86,57.0,11.99
5,Severo-Kurilsk,100,RU,1578373924,78,50.68,156.12,22.03,14.85
6,Jamestown,0,AU,1578373924,27,-33.21,138.6,86.9,1.88
7,Obo,91,CF,1578373925,25,5.39,26.49,73.98,7.78
8,Salalah,0,OM,1578373925,69,17.01,54.1,77.0,5.82
9,Homer,75,US,1578373925,66,59.64,-151.54,15.8,6.93
10,Estepona,75,ES,1578373925,76,36.43,-5.15,57.2,14.99
11,Port Elizabeth,1,US,1578373925,51,39.31,-74.98,42.8,6.93
12,Lompoc,1,US,1578373733,65,34.64,-120.46,59.0,6.93
13,Butaritari,100,KI,1578373926,76,3.07,172.79,85.3,16.24
14,Kaitangata,0,NZ,1578373926,58,-46.28,169.85,55.99,14.0
15,Albany,90,US,1578373926,55,42.65,-73.75,36.0,10.29
16,Hermanus,97,ZA,1578373926,82,-34.42,19.24,66.99,14.0
17,Kodino,94,RU,1578373926,95,63.72,39.64,26.87,6.93
18,Clyde River,90,CA,1578373926,75,70.47,-68.59,-18.4,10.29
19,East London,90,ZA,1578373886,100,-33.02,27.91,68.0,4.7
20,Barrow,0,AR,1578373927,74,-38.31,-60.23,54.63,8.12
21,Georgetown,63,GY,1578373927,88,6.8,-58.16,73.4,4.7
22,Ushuaia,75,AR,1578373915,71,-54.81,-68.31,53.6,5.82
23,Ancud,75,CL,1578373928,87,-41.87,-73.83,53.6,12.75
24,Emmett,75,US,1578373928,80,43.87,-116.5,39.0,9.17
25,Bambous Virieux,40,MU,1578373928,94,-20.34,57.76,82.0,4.29
26,Geraldton,40,CA,1578373928,84,49.72,-86.95,5.0,5.82
27,Maymyo,20,MM,1578373928,68,22.03,96.47,71.6,4.7
28,Castro,75,CL,1578373928,87,-42.48,-73.76,53.6,12.75
29,Punta Arenas,90,CL,1578373929,81,-53.16,-70.91,51.8,10.29
30,Egvekinot,93,RU,1578373929,75,66.32,-179.17,-12.21,3.06
31,Ribeira Grande,100,PT,1578373929,94,38.52,-28.7,61.21,16.26
32,Lebu,40,ET,1578373709,71,8.96,38.73,59.74,2.59
33,Bluff,100,AU,1578373929,37,-23.58,149.07,89.31,12.19
34,Bathsheba,40,BB,1578373929,69,13.22,-59.52,78.8,13.87
35,Bandarbeyla,47,SO,1578373930,80,9.49,50.81,78.91,18.88
36,Narsaq,8,GL,1578373930,34,60.91,-46.05,1.4,9.17
37,Port Alfred,84,ZA,1578373930,97,-33.59,26.89,70.0,1.01
38,Rikitea,21,PF,1578373930,78,-23.12,-134.97,77.16,15.32
39,Fairbanks,20,US,1578373930,95,64.84,-147.72,-22.0,0.38
40,Mount Isa,75,AU,1578373930,20,-20.73,139.49,102.2,8.05
41,LOS ALGARROBOS,50,EC,1578373930,74,-3.25,-79.94,75.27,2.19
42,Mandalgovi,0,MN,1578373683,70,45.76,106.27,12.38,1.77
43,Pokosnoye,10,RU,1578373931,83,55.53,101.05,16.38,5.21
44,Kapaa,75,US,1578373931,88,22.08,-159.32,78.8,16.11
45,Busselton,0,AU,1578373817,11,-33.64,115.35,95.0,15.03
46,Torbay,90,CA,1578373931,92,47.66,-52.73,25.0,2.24
47,Rawson,31,AR,1578373931,57,-43.3,-65.11,62.35,13.67
48,Hambantota,20,LK,1578373797,83,6.12,81.12,84.2,14.99
49,Charters Towers,82,AU,1578373932,46,-20.07,146.27,88.88,17.47
50,Baneh,0,IR,1578373932,64,35.99,45.88,32.0,3.36
51,Khatanga,96,RU,1578373932,92,71.98,102.47,4.84,10.83
52,Tuktoyaktuk,5,CA,1578373932,66,69.44,-133.03,-29.2,9.17
53,Hualmay,35,PE,1578373932,89,-11.1,-77.61,66.02,3.67
54,Cidreira,59,BR,1578373933,85,-30.17,-50.22,74.26,11.14
55,Hilo,20,US,1578373933,57,19.71,-155.08,78.8,5.82
56,Namatanai,89,PG,1578373933,65,-3.66,152.44,86.45,1.48
57,Smolenka,99,PL,1578373933,94,54.15,22.76,33.01,6.17
58,Keflavik,90,IS,1578373933,97,64.0,-22.56,32.0,29.97
59,Luderitz,58,NA,1578373933,82,-26.65,15.16,60.8,18.34
60,Katsuura,75,JP,1578373933,87,33.93,134.5,51.8,17.22
61,San Cristobal,100,HN,1578373933,98,14.68,-86.92,59.47,3.22
62,Ahipara,99,NZ,1578373933,68,-35.17,173.16,62.15,20.4
63,Westport,1,US,1578373933,48,41.14,-73.36,43.0,8.05
64,Adrar,6,DZ,1578373933,48,27.87,-0.29,41.0,13.87
65,Bredasdorp,100,ZA,1578373934,68,-34.53,20.04,68.0,9.17
66,Roebourne,66,AU,1578373934,37,-20.77,117.15,95.43,16.37
67,Dunedin,7,NZ,1578373934,72,-45.87,170.5,52.23,19.62
68,Kendal,85,ID,1578373934,95,-6.92,110.2,84.99,10.31
69,Kahului,20,US,1578373934,65,20.89,-156.47,77.0,12.75
70,La Asuncion,37,AR,1578373935,85,-26.05,-65.39,55.62,0.83
71,Faanui,85,PF,1578373935,80,-16.48,-151.75,81.23,18.05
72,Esperance,0,AU,1578373935,7,-33.86,121.89,104.0,14.99
73,Fredericton,90,CA,1578373935,92,45.97,-66.65,16.0,3.36
74,Coahuayana,10,MX,1578373936,45,18.62,-100.35,69.03,3.06
75,Powell,1,US,1578373936,64,40.16,-83.08,33.8,0.96
76,Namibe,45,AO,1578373936,81,-15.19,12.15,72.21,6.44
77,Fortuna Foothills,1,US,1578373938,32,32.66,-114.41,60.01,9.17
78,Pimentel,100,BR,1578373938,98,-3.7,-45.5,73.63,1.97
79,Saldanha,100,PT,1578373938,79,41.42,-6.55,35.28,3.2
80,Hami,0,CN,1578373938,42,42.84,93.51,26.2,1.3
81,Port Hedland,75,AU,1578373939,41,-20.31,118.58,95.0,26.4
82,Avarua,20,CK,1578373764,83,-21.21,-159.78,80.6,3.36
83,La Brea,20,TT,1578373939,94,10.24,-61.62,75.0,12.39
84,Waddan,8,LY,1578373939,81,29.16,16.14,41.16,6.38
85,Hoi An,40,VN,1578373939,65,15.88,108.33,82.4,4.7
86,Colares,17,PT,1578373939,100,38.8,-9.45,46.99,2.24
87,Henties Bay,65,NA,1578373940,89,-22.12,14.28,63.0,1.99
88,Micheweni,12,TZ,1578373940,77,-4.97,39.83,83.75,9.08
89,Naze,3,NG,1578373940,78,5.43,7.07,71.71,2.17
90,La Ronge,90,CA,1578373940,70,55.1,-105.3,-5.8,11.41
91,Manaus,91,BR,1578373940,69,-3.13,-59.98,82.4,4.7
92,Bethel,1,US,1578373941,75,60.79,-161.76,-16.6,8.05
93,Balao,4,EC,1578373941,81,-2.91,-79.82,75.51,5.14
