,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind Speed
0,Husavik,26,CA,1578367559,86,50.56,-96.99,-5.0,3.13
1,Jurm,100,AF,1578367734,94,36.86,70.83,-9.4,0.83
2,Rio Gallegos,75,AR,1578367734,62,-51.62,-69.22,14.0,4.1
3,Nabire,37,ID,1578367734,58,-3.36,135.5,32.18,1.62
4,Bayir,75,TR,1578367734,81,37.27,28.22,9.0,5.7
5,New Norfolk,75,AU,1578367553,63,-42.78,147.06,22.22,6.2
6,Bredasdorp,100,ZA,1578367734,72,-34.53,20.04,19.0,2.6
7,Vaini,75,IN,1578367734,88,15.34,74.49,21.0,3.1
8,Saint-Pierre,90,FR,1578367734,100,48.95,4.24,7.0,4.6
9,Kahului,20,US,1578367734,61,20.89,-156.47,26.0,7.2
10,Saskylakh,65,RU,1578367508,94,71.97,114.09,-18.64,3.9
11,Mahebourg,40,MU,1578367449,94,-20.41,57.7,25.56,1.5
12,Georgetown,41,GY,1578367604,83,6.8,-58.16,24.0,2.1
13,Sidi Ali,0,DZ,1578367735,88,36.1,0.42,6.57,0.42
14,Busselton,0,AU,1578367735,12,-33.64,115.35,33.33,4.23
15,Rikitea,40,PF,1578367735,77,-23.12,-134.97,24.87,5.63
16,Hami,0,CN,1578367452,47,42.84,93.51,-6.36,0.4
17,Sao Filipe,100,CV,1578367735,68,14.9,-24.5,20.29,10.14
18,Ushuaia,75,AR,1578367696,62,-54.81,-68.31,13.0,5.1
19,Albany,90,US,1578367735,64,42.65,-73.75,2.22,3.44
20,Norman,1,US,1578367735,48,35.22,-97.44,6.67,3.1
21,Cherskiy,0,RU,1578367493,74,68.75,161.3,-27.4,2.51
22,Lorengau,16,PG,1578367574,73,-2.02,147.27,29.51,4.12
23,Arraial do Cabo,20,BR,1578367735,94,-22.97,-42.02,24.0,5.47
24,Carnarvon,64,ZA,1578367525,73,-30.97,22.13,17.62,4.49
25,East London,75,ZA,1578367735,100,-33.02,27.91,20.0,2.96
26,Atuona,32,PF,1578367735,68,-9.8,-139.03,27.25,4.72
27,Pasan,0,IN,1578367735,44,22.84,82.2,14.67,1.17
